file,SSIM,ΔE00,LPIPS,Ref_paths,Pip_paths,Ref_cmds,Pip_cmds,Ref_gzip,Pip_gzip,Size_Reduction
240,0.3130088167402266,30.662284281960588,0.5591710805892944,114,0,731409,0,147540,734,99.50250779449641
241,0.2863978537631558,28.782484439777622,0.6024898886680603,215,0,1417525,0,236558,1137,99.51935677508264
242,0.2452376296917833,30.74780050297005,0.707766056060791,443,0,3583843,0,749327,532,99.9290029586549
243,0.3674410403654022,28.436671533207754,0.4833609461784363,60,0,206046,0,39351,820,97.91619018576402
244,0.2430289680832574,25.58914842249674,0.638727605342865,483,0,3404662,0,738711,813,99.88994342848557
245,0.2931537342872073,28.44713818003885,0.6050593256950378,347,0,2257805,0,453256,936,99.79349418430202
246,0.33800471558322476,28.437612363362785,0.5289516448974609,128,0,682673,0,126216,1196,99.05241807694746
247,0.25250596234060024,29.88107792195414,0.6238490343093872,245,0,1501590,0,260938,1297,99.5029470602212
248,0.2762733110105073,31.81027866341428,0.6426114439964294,235,0,1195129,0,255150,1467,99.42504409171076
249,0.2698719780424631,31.81066671139192,0.6112173795700073,172,0,1545319,0,235592,1377,99.41551495806308
250,0.2536841289608194,30.99991743401122,0.5932113528251648,150,0,732912,0,146033,2490,98.29490594591633
251,0.2667627065192734,30.61842904390342,0.5931030511856079,173,0,805736,0,160809,1850,98.84956687747575
252,0.3018713691562771,29.26814642466941,0.5616965889930725,131,0,661244,0,124274,941,99.24280219514942
253,0.31069006152798967,32.303522617535805,0.5896551012992859,205,0,1291210,0,229365,946,99.58755695071176
254,0.27895475511114914,31.08213959533594,0.60895836353302,152,0,1507506,0,218937,1221,99.4423053207087
255,0.2985571951642823,30.244723893927457,0.6061484813690186,254,0,1696076,0,307144,1281,99.58293178443988
256,0.2812751185468762,29.42824170659555,0.5534515380859375,93,0,226599,0,44420,1237,97.21521837010356
257,0.0451979333614054,30.158782557523253,0.7205851674079895,534,0,2343576,0,592917,6103,98.97068223714281
258,0.025352723873997604,26.9452310474815,0.7018117904663086,554,0,4561357,0,754168,4937,99.34537132310042
259,0.26001997021428713,28.884210839476754,0.603144645690918,250,0,1447820,0,267984,1714,99.36040957669114
260,0.28485674587858983,30.491224961506955,0.5761672854423523,206,0,1326856,0,255199,2468,99.0329115709701
261,0.2492707345182063,27.044743538021482,0.6098350882530212,240,0,1845086,0,298321,866,99.70970866952041
262,0.17475494941315978,30.546668338339657,0.6559079885482788,448,0,2502554,0,467736,2060,99.55958061812646
